Provinsi,NamaKab/Kota,KodeKab/Kota,Lapangan pekerjaan,Jumlah individu yang bekerja
ACEH,ACEH TENGGARA,1104,Perdagangan,"1,182"
ACEH,ACEH TENGGARA,1104,Hotel dan rumah makan,137
ACEH,ACEH TENGGARA,1104,Transportasi dan pergudangan,644
ACEH,ACEH TENGGARA,1104,Informasi & komunikasi,6
ACEH,ACEH TENGGARA,1104,Keuangan dan asuransi,11
ACEH,ACEH TENGGARA,1104,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",90
ACEH,ACEH TENGGARA,1104,Pemulung,579
ACEH,ACEH TENGGARA,1104,Lainnya,"1,200"
ACEH,ACEH TIMUR,1105,Pertanian tanaman padi & palawija,"23,331"
ACEH,ACEH TIMUR,1105,Hortikultura,"1,532"
ACEH,ACEH TIMUR,1105,Perkebunan,"13,052"
ACEH,ACEH TIMUR,1105,Perikanan Tangkap,"5,315"
ACEH,ACEH TIMUR,1105,Perikanan Budidaya,"1,484"
ACEH,ACEH TIMUR,1105,Peternakan,828
ACEH,ACEH TIMUR,1105,Kehutanan/ pertanian lainnya,507
ACEH,ACEH TIMUR,1105,Pertambangan /penggalian,204
ACEH,ACEH TIMUR,1105,Industri pengolahan,"1,481"
ACEH,ACEH TIMUR,1105,Listrik dan gas,98
ACEH,ACEH TIMUR,1105,Bangunan /konstruksi,"4,167"
ACEH,ACEH TIMUR,1105,Perdagangan,"4,728"
ACEH,ACEH TIMUR,1105,Hotel dan rumah makan,417
ACEH,ACEH TIMUR,1105,Transportasi dan pergudangan,"1,656"
ACEH,ACEH TIMUR,1105,Informasi & komunikasi,26
ACEH,ACEH TIMUR,1105,Keuangan dan asuransi,14
ACEH,ACEH TIMUR,1105,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",488
ACEH,ACEH TIMUR,1105,Pemulung,"2,964"
ACEH,ACEH TIMUR,1105,Lainnya,"3,543"
ACEH,ACEH TENGAH,1106,Pertanian tanaman padi & palawija,"2,478"
ACEH,ACEH TENGAH,1106,Hortikultura,771
ACEH,ACEH TENGAH,1106,Perkebunan,"27,698"
ACEH,ACEH TENGAH,1106,Perikanan Tangkap,317
ACEH,ACEH TENGAH,1106,Perikanan Budidaya,34
ACEH,ACEH TENGAH,1106,Peternakan,108
ACEH,ACEH TENGAH,1106,Kehutanan/ pertanian lainnya,27
ACEH,ACEH TENGAH,1106,Pertambangan /penggalian,44
ACEH,ACEH TENGAH,1106,Industri pengolahan,615
ACEH,ACEH TENGAH,1106,Listrik dan gas,33
ACEH,ACEH TENGAH,1106,Bangunan /konstruksi,"1,093"
ACEH,ACEH TENGAH,1106,Perdagangan,"1,719"
ACEH,ACEH TENGAH,1106,Hotel dan rumah makan,90
ACEH,ACEH TENGAH,1106,Transportasi dan pergudangan,501
ACEH,ACEH TENGAH,1106,Informasi & komunikasi,11
ACEH,ACEH TENGAH,1106,Keuangan dan asuransi,12
ACEH,ACEH TENGAH,1106,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",269
ACEH,ACEH TENGAH,1106,Pemulung,"1,075"
ACEH,ACEH TENGAH,1106,Lainnya,328
ACEH,ACEH BARAT,1107,Pertanian tanaman padi & palawija,"19,201"
ACEH,ACEH BARAT,1107,Hortikultura,165
ACEH,ACEH BARAT,1107,Perkebunan,"3,746"
ACEH,ACEH BARAT,1107,Perikanan Tangkap,769
ACEH,ACEH BARAT,1107,Perikanan Budidaya,8
ACEH,ACEH BARAT,1107,Peternakan,38
ACEH,ACEH BARAT,1107,Kehutanan/ pertanian lainnya,289
ACEH,ACEH BARAT,1107,Pertambangan /penggalian,645
ACEH,ACEH BARAT,1107,Industri pengolahan,473
ACEH,ACEH BARAT,1107,Listrik dan gas,59
ACEH,ACEH BARAT,1107,Bangunan /konstruksi,"1,653"
ACEH,ACEH BARAT,1107,Perdagangan,"1,677"
ACEH,ACEH BARAT,1107,Hotel dan rumah makan,323
ACEH,ACEH BARAT,1107,Transportasi dan pergudangan,532
ACEH,ACEH BARAT,1107,Informasi & komunikasi,15
ACEH,ACEH BARAT,1107,Keuangan dan asuransi,22
ACEH,ACEH BARAT,1107,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",219
ACEH,ACEH BARAT,1107,Pemulung,982
ACEH,ACEH BARAT,1107,Lainnya,"1,032"
ACEH,ACEH BESAR,1108,Pertanian tanaman padi & palawija,"24,352"
ACEH,ACEH BESAR,1108,Hortikultura,775
ACEH,ACEH BESAR,1108,Perkebunan,"1,260"
ACEH,ACEH BESAR,1108,Perikanan Tangkap,"1,395"
ACEH,ACEH BESAR,1108,Perikanan Budidaya,84
ACEH,ACEH BESAR,1108,Peternakan,"1,589"
ACEH,ACEH BESAR,1108,Kehutanan/ pertanian lainnya,457
ACEH,ACEH BESAR,1108,Pertambangan /penggalian,188
ACEH,ACEH BESAR,1108,Industri pengolahan,"1,631"
ACEH,ACEH BESAR,1108,Listrik dan gas,168
ACEH,ACEH BESAR,1108,Bangunan /konstruksi,"5,570"
ACEH,ACEH BESAR,1108,Perdagangan,"5,144"
ACEH,ACEH BESAR,1108,Hotel dan rumah makan,378
ACEH,ACEH BESAR,1108,Transportasi dan pergudangan,"1,808"
ACEH,ACEH BESAR,1108,Informasi & komunikasi,51
ACEH,ACEH BESAR,1108,Keuangan dan asuransi,49
ACEH,ACEH BESAR,1108,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",596
ACEH,ACEH BESAR,1108,Pemulung,"2,932"
ACEH,ACEH BESAR,1108,Lainnya,"2,836"
ACEH,PIDIE,1109,Pertanian tanaman padi & palawija,"36,716"
ACEH,PIDIE,1109,Hortikultura,"5,541"
ACEH,PIDIE,1109,Perkebunan,"5,137"
ACEH,PIDIE,1109,Perikanan Tangkap,"3,243"
ACEH,PIDIE,1109,Perikanan Budidaya,416
ACEH,PIDIE,1109,Peternakan,275
ACEH,PIDIE,1109,Kehutanan/ pertanian lainnya,194
ACEH,PIDIE,1109,Pertambangan /penggalian,529
ACEH,PIDIE,1109,Industri pengolahan,"4,886"
ACEH,PIDIE,1109,Listrik dan gas,85
ACEH,PIDIE,1109,Bangunan /konstruksi,"3,929"
ACEH,PIDIE,1109,Perdagangan,"7,532"
ACEH,PIDIE,1109,Hotel dan rumah makan,"1,140"
ACEH,PIDIE,1109,Transportasi dan pergudangan,"1,627"
ACEH,PIDIE,1109,Informasi & komunikasi,31
ACEH,PIDIE,1109,Keuangan dan asuransi,21
ACEH,PIDIE,1109,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",556
ACEH,PIDIE,1109,Pemulung,"2,859"
ACEH,PIDIE,1109,Lainnya,508
ACEH,BIREUEN,1110,Pertanian tanaman padi & palawija,"39,694"
ACEH,BIREUEN,1110,Hortikultura,765
ACEH,BIREUEN,1110,Perkebunan,"6,303"
ACEH,BIREUEN,1110,Perikanan Tangkap,"2,722"
ACEH,BIREUEN,1110,Perikanan Budidaya,"1,172"
ACEH,BIREUEN,1110,Peternakan,597
ACEH,BIREUEN,1110,Kehutanan/ pertanian lainnya,378
ACEH,BIREUEN,1110,Pertambangan /penggalian,298
ACEH,BIREUEN,1110,Industri pengolahan,"3,120"
ACEH,BIREUEN,1110,Listrik dan gas,147
ACEH,BIREUEN,1110,Bangunan /konstruksi,"5,396"
ACEH,BIREUEN,1110,Perdagangan,"6,557"
ACEH,BIREUEN,1110,Hotel dan rumah makan,592
ACEH,BIREUEN,1110,Transportasi dan pergudangan,"2,112"
ACEH,BIREUEN,1110,Informasi & komunikasi,33
ACEH,BIREUEN,1110,Keuangan dan asuransi,35
ACEH,BIREUEN,1110,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",535
ACEH,BIREUEN,1110,Pemulung,"2,055"
ACEH,BIREUEN,1110,Lainnya,"6,102"
ACEH,ACEH UTARA,1111,Pertanian tanaman padi & palawija,"54,595"
ACEH,ACEH UTARA,1111,Hortikultura,978
ACEH,ACEH UTARA,1111,Perkebunan,"14,137"
ACEH,ACEH UTARA,1111,Perikanan Tangkap,"3,015"
ACEH,ACEH UTARA,1111,Perikanan Budidaya,"1,251"
ACEH,ACEH UTARA,1111,Peternakan,728
ACEH,ACEH UTARA,1111,Kehutanan/ pertanian lainnya,902
ACEH,ACEH UTARA,1111,Pertambangan /penggalian,203
ACEH,ACEH UTARA,1111,Industri pengolahan,"3,822"
ACEH,ACEH UTARA,1111,Listrik dan gas,139
ACEH,ACEH UTARA,1111,Bangunan /konstruksi,"7,570"
ACEH,ACEH UTARA,1111,Perdagangan,"6,835"
ACEH,ACEH UTARA,1111,Hotel dan rumah makan,682
ACEH,ACEH UTARA,1111,Transportasi dan pergudangan,"1,822"
ACEH,ACEH UTARA,1111,Informasi & komunikasi,29
ACEH,ACEH UTARA,1111,Keuangan dan asuransi,36
ACEH,ACEH UTARA,1111,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan","1,245"
ACEH,ACEH UTARA,1111,Pemulung,"3,217"
ACEH,ACEH UTARA,1111,Lainnya,"4,815"
ACEH,ACEH BARAT DAYA,1112,Pertanian tanaman padi & palawija,"11,875"
ACEH,ACEH BARAT DAYA,1112,Hortikultura,149
ACEH,ACEH BARAT DAYA,1112,Perkebunan,"2,443"
ACEH,ACEH BARAT DAYA,1112,Perikanan Tangkap,"1,697"
ACEH,ACEH BARAT DAYA,1112,Perikanan Budidaya,17
ACEH,ACEH BARAT DAYA,1112,Peternakan,65
ACEH,ACEH BARAT DAYA,1112,Kehutanan/ pertanian lainnya,234
ACEH,ACEH BARAT DAYA,1112,Pertambangan /penggalian,72
ACEH,ACEH BARAT DAYA,1112,Industri pengolahan,614
ACEH,ACEH BARAT DAYA,1112,Listrik dan gas,39
ACEH,ACEH BARAT DAYA,1112,Bangunan /konstruksi,"2,055"
ACEH,ACEH BARAT DAYA,1112,Perdagangan,"2,011"
ACEH,ACEH BARAT DAYA,1112,Hotel dan rumah makan,155
ACEH,ACEH BARAT DAYA,1112,Transportasi dan pergudangan,576
ACEH,ACEH BARAT DAYA,1112,Informasi & komunikasi,13
ACEH,ACEH BARAT DAYA,1112,Keuangan dan asuransi,19
ACEH,ACEH BARAT DAYA,1112,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",266
ACEH,ACEH BARAT DAYA,1112,Pemulung,982
ACEH,ACEH BARAT DAYA,1112,Lainnya,215
ACEH,GAYO LUES,1113,Pertanian tanaman padi & palawija,"5,771"
ACEH,GAYO LUES,1113,Hortikultura,"1,308"
ACEH,GAYO LUES,1113,Perkebunan,"9,096"
ACEH,GAYO LUES,1113,Perikanan Tangkap,5
ACEH,GAYO LUES,1113,Perikanan Budidaya,3
ACEH,GAYO LUES,1113,Peternakan,22
ACEH,GAYO LUES,1113,Kehutanan/ pertanian lainnya,28
ACEH,GAYO LUES,1113,Pertambangan /penggalian,7
ACEH,GAYO LUES,1113,Industri pengolahan,426
ACEH,GAYO LUES,1113,Listrik dan gas,7
ACEH,GAYO LUES,1113,Bangunan /konstruksi,113
ACEH,GAYO LUES,1113,Perdagangan,388
ACEH,GAYO LUES,1113,Hotel dan rumah makan,35
ACEH,GAYO LUES,1113,Transportasi dan pergudangan,153
ACEH,GAYO LUES,1113,Informasi & komunikasi,2
ACEH,GAYO LUES,1113,Keuangan dan asuransi,1
ACEH,GAYO LUES,1113,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",23
ACEH,GAYO LUES,1113,Pemulung,149
ACEH,GAYO LUES,1113,Lainnya,182
ACEH,ACEH TAMIANG,1114,Pertanian tanaman padi & palawija,"5,678"
ACEH,ACEH TAMIANG,1114,Hortikultura,453
ACEH,ACEH TAMIANG,1114,Perkebunan,"10,923"
ACEH,ACEH TAMIANG,1114,Perikanan Tangkap,"1,456"
ACEH,ACEH TAMIANG,1114,Perikanan Budidaya,201
ACEH,ACEH TAMIANG,1114,Peternakan,112
ACEH,ACEH TAMIANG,1114,Kehutanan/ pertanian lainnya,"1,040"
ACEH,ACEH TAMIANG,1114,Pertambangan /penggalian,368
ACEH,ACEH TAMIANG,1114,Industri pengolahan,"1,028"
ACEH,ACEH TAMIANG,1114,Listrik dan gas,80
ACEH,ACEH TAMIANG,1114,Bangunan /konstruksi,"3,159"
ACEH,ACEH TAMIANG,1114,Perdagangan,"2,778"
ACEH,ACEH TAMIANG,1114,Hotel dan rumah makan,626
ACEH,ACEH TAMIANG,1114,Transportasi dan pergudangan,"1,311"
ACEH,ACEH TAMIANG,1114,Informasi & komunikasi,29
ACEH,ACEH TAMIANG,1114,Keuangan dan asuransi,19
ACEH,ACEH TAMIANG,1114,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",358
ACEH,ACEH TAMIANG,1114,Pemulung,"3,370"
ACEH,ACEH TAMIANG,1114,Lainnya,"1,716"
ACEH,NAGAN RAYA,1115,Pertanian tanaman padi & palawija,"11,701"
ACEH,NAGAN RAYA,1115,Hortikultura,649
ACEH,NAGAN RAYA,1115,Perkebunan,"9,397"
ACEH,NAGAN RAYA,1115,Perikanan Tangkap,277
ACEH,NAGAN RAYA,1115,Perikanan Budidaya,15
ACEH,NAGAN RAYA,1115,Peternakan,97
ACEH,NAGAN RAYA,1115,Kehutanan/ pertanian lainnya,142
ACEH,NAGAN RAYA,1115,Pertambangan /penggalian,60
ACEH,NAGAN RAYA,1115,Industri pengolahan,804
ACEH,NAGAN RAYA,1115,Listrik dan gas,35
ACEH,NAGAN RAYA,1115,Bangunan /konstruksi,898
ACEH,NAGAN RAYA,1115,Perdagangan,"1,378"
ACEH,NAGAN RAYA,1115,Hotel dan rumah makan,49
ACEH,NAGAN RAYA,1115,Transportasi dan pergudangan,475
ACEH,NAGAN RAYA,1115,Informasi & komunikasi,6
ACEH,NAGAN RAYA,1115,Keuangan dan asuransi,6
ACEH,NAGAN RAYA,1115,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",87
ACEH,NAGAN RAYA,1115,Pemulung,598
ACEH,NAGAN RAYA,1115,Lainnya,752
ACEH,ACEH JAYA,1116,Pertanian tanaman padi & palawija,"9,267"
ACEH,ACEH JAYA,1116,Hortikultura,195
ACEH,ACEH JAYA,1116,Perkebunan,"1,129"
ACEH,ACEH JAYA,1116,Perikanan Tangkap,264
ACEH,ACEH JAYA,1116,Perikanan Budidaya,13
ACEH,ACEH JAYA,1116,Peternakan,34
ACEH,ACEH JAYA,1116,Kehutanan/ pertanian lainnya,189
ACEH,ACEH JAYA,1116,Pertambangan /penggalian,34
ACEH,ACEH JAYA,1116,Industri pengolahan,66
ACEH,ACEH JAYA,1116,Listrik dan gas,15
ACEH,ACEH JAYA,1116,Bangunan /konstruksi,475
ACEH,ACEH JAYA,1116,Perdagangan,418
ACEH,ACEH JAYA,1116,Hotel dan rumah makan,31
ACEH,ACEH JAYA,1116,Transportasi dan pergudangan,118
ACEH,ACEH JAYA,1116,Informasi & komunikasi,3
ACEH,ACEH JAYA,1116,Keuangan dan asuransi,3
ACEH,ACEH JAYA,1116,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",75
ACEH,ACEH JAYA,1116,Pemulung,267
ACEH,ACEH JAYA,1116,Lainnya,328
ACEH,BENER MERIAH,1117,Pertanian tanaman padi & palawija,503
ACEH,BENER MERIAH,1117,Hortikultura,"1,022"
ACEH,BENER MERIAH,1117,Perkebunan,"15,363"
ACEH,BENER MERIAH,1117,Perikanan Tangkap,12
ACEH,BENER MERIAH,1117,Perikanan Budidaya,32
ACEH,BENER MERIAH,1117,Peternakan,25
ACEH,BENER MERIAH,1117,Kehutanan/ pertanian lainnya,32
ACEH,BENER MERIAH,1117,Pertambangan /penggalian,26
ACEH,BENER MERIAH,1117,Industri pengolahan,52
ACEH,BENER MERIAH,1117,Listrik dan gas,6
ACEH,BENER MERIAH,1117,Bangunan /konstruksi,441
ACEH,BENER MERIAH,1117,Perdagangan,468
ACEH,BENER MERIAH,1117,Hotel dan rumah makan,56
ACEH,BENER MERIAH,1117,Transportasi dan pergudangan,102
ACEH,BENER MERIAH,1117,Informasi & komunikasi,3
ACEH,BENER MERIAH,1117,Keuangan dan asuransi,3
ACEH,BENER MERIAH,1117,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",44
ACEH,BENER MERIAH,1117,Pemulung,241
ACEH,BENER MERIAH,1117,Lainnya,453
ACEH,PIDIE JAYA,1118,Pertanian tanaman padi & palawija,"16,059"
ACEH,PIDIE JAYA,1118,Hortikultura,587
ACEH,PIDIE JAYA,1118,Perkebunan,"1,682"
ACEH,PIDIE JAYA,1118,Perikanan Tangkap,"1,683"
ACEH,PIDIE JAYA,1118,Perikanan Budidaya,381
ACEH,PIDIE JAYA,1118,Peternakan,154
ACEH,PIDIE JAYA,1118,Kehutanan/ pertanian lainnya,133
ACEH,PIDIE JAYA,1118,Pertambangan /penggalian,101
ACEH,PIDIE JAYA,1118,Industri pengolahan,"1,159"
ACEH,PIDIE JAYA,1118,Listrik dan gas,35
ACEH,PIDIE JAYA,1118,Bangunan /konstruksi,"1,952"
ACEH,PIDIE JAYA,1118,Perdagangan,"2,856"
ACEH,PIDIE JAYA,1118,Hotel dan rumah makan,196
ACEH,PIDIE JAYA,1118,Transportasi dan pergudangan,597
ACEH,PIDIE JAYA,1118,Informasi & komunikasi,8
ACEH,PIDIE JAYA,1118,Keuangan dan asuransi,10
ACEH,PIDIE JAYA,1118,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",333
ACEH,PIDIE JAYA,1118,Pemulung,"1,001"
ACEH,PIDIE JAYA,1118,Lainnya,338
ACEH,KOTA BANDA ACEH,1171,Pertanian tanaman padi & palawija,58
ACEH,KOTA BANDA ACEH,1171,Hortikultura,18
ACEH,KOTA BANDA ACEH,1171,Perkebunan,9
ACEH,KOTA BANDA ACEH,1171,Perikanan Tangkap,665
ACEH,KOTA BANDA ACEH,1171,Perikanan Budidaya,45
ACEH,KOTA BANDA ACEH,1171,Peternakan,124
ACEH,KOTA BANDA ACEH,1171,Kehutanan/ pertanian lainnya,6
ACEH,KOTA BANDA ACEH,1171,Pertambangan /penggalian,6
ACEH,KOTA BANDA ACEH,1171,Industri pengolahan,640
ACEH,KOTA BANDA ACEH,1171,Listrik dan gas,62
ACEH,KOTA BANDA ACEH,1171,Bangunan /konstruksi,"1,997"
ACEH,KOTA BANDA ACEH,1171,Perdagangan,"2,874"
ACEH,KOTA BANDA ACEH,1171,Hotel dan rumah makan,365
ACEH,KOTA BANDA ACEH,1171,Transportasi dan pergudangan,"1,243"
ACEH,KOTA BANDA ACEH,1171,Informasi & komunikasi,22
ACEH,KOTA BANDA ACEH,1171,Keuangan dan asuransi,38
ACEH,KOTA BANDA ACEH,1171,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",158
ACEH,KOTA BANDA ACEH,1171,Pemulung,"2,449"
ACEH,KOTA BANDA ACEH,1171,Lainnya,183
ACEH,KOTA SABANG,1172,Pertanian tanaman padi & palawija,19
ACEH,KOTA SABANG,1172,Hortikultura,296
ACEH,KOTA SABANG,1172,Perkebunan,167
ACEH,KOTA SABANG,1172,Perikanan Tangkap,369
ACEH,KOTA SABANG,1172,Perikanan Budidaya,3
ACEH,KOTA SABANG,1172,Peternakan,38
ACEH,KOTA SABANG,1172,Kehutanan/ pertanian lainnya,9
ACEH,KOTA SABANG,1172,Pertambangan /penggalian,31
ACEH,KOTA SABANG,1172,Industri pengolahan,179
ACEH,KOTA SABANG,1172,Listrik dan gas,9
ACEH,KOTA SABANG,1172,Bangunan /konstruksi,438
ACEH,KOTA SABANG,1172,Perdagangan,515
ACEH,KOTA SABANG,1172,Hotel dan rumah makan,47
ACEH,KOTA SABANG,1172,Transportasi dan pergudangan,118
ACEH,KOTA SABANG,1172,Informasi & komunikasi,3
ACEH,KOTA SABANG,1172,Keuangan dan asuransi,6
ACEH,KOTA SABANG,1172,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",73
ACEH,KOTA SABANG,1172,Pemulung,537
ACEH,KOTA SABANG,1172,Lainnya,96
ACEH,KOTA LANGSA,1173,Pertanian tanaman padi & palawija,624
ACEH,KOTA LANGSA,1173,Hortikultura,52
ACEH,KOTA LANGSA,1173,Perkebunan,851
ACEH,KOTA LANGSA,1173,Perikanan Tangkap,"1,602"
ACEH,KOTA LANGSA,1173,Perikanan Budidaya,131
ACEH,KOTA LANGSA,1173,Peternakan,33
ACEH,KOTA LANGSA,1173,Kehutanan/ pertanian lainnya,103
ACEH,KOTA LANGSA,1173,Pertambangan /penggalian,16
ACEH,KOTA LANGSA,1173,Industri pengolahan,476
ACEH,KOTA LANGSA,1173,Listrik dan gas,43
ACEH,KOTA LANGSA,1173,Bangunan /konstruksi,"2,133"
ACEH,KOTA LANGSA,1173,Perdagangan,"2,060"
ACEH,KOTA LANGSA,1173,Hotel dan rumah makan,615
ACEH,KOTA LANGSA,1173,Transportasi dan pergudangan,"1,379"
ACEH,KOTA LANGSA,1173,Informasi & komunikasi,33
ACEH,KOTA LANGSA,1173,Keuangan dan asuransi,16
ACEH,KOTA LANGSA,1173,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",121
ACEH,KOTA LANGSA,1173,Pemulung,"2,868"
ACEH,KOTA LANGSA,1173,Lainnya,22
ACEH,KOTA LHOKSEUMAWE,1174,Pertanian tanaman padi & palawija,"1,274"
ACEH,KOTA LHOKSEUMAWE,1174,Hortikultura,360
ACEH,KOTA LHOKSEUMAWE,1174,Perkebunan,233
ACEH,KOTA LHOKSEUMAWE,1174,Perikanan Tangkap,"2,012"
ACEH,KOTA LHOKSEUMAWE,1174,Perikanan Budidaya,108
ACEH,KOTA LHOKSEUMAWE,1174,Peternakan,78
ACEH,KOTA LHOKSEUMAWE,1174,Kehutanan/ pertanian lainnya,27
ACEH,KOTA LHOKSEUMAWE,1174,Pertambangan /penggalian,30
ACEH,KOTA LHOKSEUMAWE,1174,Industri pengolahan,327
ACEH,KOTA LHOKSEUMAWE,1174,Listrik dan gas,89
ACEH,KOTA LHOKSEUMAWE,1174,Bangunan /konstruksi,"2,954"
ACEH,KOTA LHOKSEUMAWE,1174,Perdagangan,"2,195"
ACEH,KOTA LHOKSEUMAWE,1174,Hotel dan rumah makan,291
ACEH,KOTA LHOKSEUMAWE,1174,Transportasi dan pergudangan,"1,635"
ACEH,KOTA LHOKSEUMAWE,1174,Informasi & komunikasi,40
ACEH,KOTA LHOKSEUMAWE,1174,Keuangan dan asuransi,25
ACEH,KOTA LHOKSEUMAWE,1174,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",244
ACEH,KOTA LHOKSEUMAWE,1174,Pemulung,"2,822"
ACEH,KOTA LHOKSEUMAWE,1174,Lainnya,684
ACEH,KOTA SUBULUSSALAM,1175,Pertanian tanaman padi & palawija,928
