Provinsi,NamaKab/Kota,KodeKab/Kota,Lapangan pekerjaan,Jumlah kepala rumah tangga yang bekerja
ACEH,ACEH TENGGARA,1104,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",40
ACEH,ACEH TENGGARA,1104,Pemulung,350
ACEH,ACEH TENGGARA,1104,Lainnya,641
ACEH,ACEH TIMUR,1105,Pertanian tanaman padi & palawija,"12,818"
ACEH,ACEH TIMUR,1105,Hortikultura,790
ACEH,ACEH TIMUR,1105,Perkebunan,"8,085"
ACEH,ACEH TIMUR,1105,Perikanan Tangkap,"3,723"
ACEH,ACEH TIMUR,1105,Perikanan Budidaya,"1,051"
ACEH,ACEH TIMUR,1105,Peternakan,429
ACEH,ACEH TIMUR,1105,Kehutanan/ pertanian lainnya,343
ACEH,ACEH TIMUR,1105,Pertambangan /penggalian,121
ACEH,ACEH TIMUR,1105,Industri pengolahan,705
ACEH,ACEH TIMUR,1105,Listrik dan gas,60
ACEH,ACEH TIMUR,1105,Bangunan /konstruksi,"2,650"
ACEH,ACEH TIMUR,1105,Perdagangan,"2,386"
ACEH,ACEH TIMUR,1105,Hotel dan rumah makan,148
ACEH,ACEH TIMUR,1105,Transportasi dan pergudangan,"1,283"
ACEH,ACEH TIMUR,1105,Informasi & komunikasi,11
ACEH,ACEH TIMUR,1105,Keuangan dan asuransi,3
ACEH,ACEH TIMUR,1105,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",159
ACEH,ACEH TIMUR,1105,Pemulung,"1,737"
ACEH,ACEH TIMUR,1105,Lainnya,"2,045"
ACEH,ACEH TENGAH,1106,Pertanian tanaman padi & palawija,"1,114"
ACEH,ACEH TENGAH,1106,Hortikultura,331
ACEH,ACEH TENGAH,1106,Perkebunan,"13,115"
ACEH,ACEH TENGAH,1106,Perikanan Tangkap,245
ACEH,ACEH TENGAH,1106,Perikanan Budidaya,21
ACEH,ACEH TENGAH,1106,Peternakan,59
ACEH,ACEH TENGAH,1106,Kehutanan/ pertanian lainnya,17
ACEH,ACEH TENGAH,1106,Pertambangan /penggalian,35
ACEH,ACEH TENGAH,1106,Industri pengolahan,271
ACEH,ACEH TENGAH,1106,Listrik dan gas,23
ACEH,ACEH TENGAH,1106,Bangunan /konstruksi,864
ACEH,ACEH TENGAH,1106,Perdagangan,871
ACEH,ACEH TENGAH,1106,Hotel dan rumah makan,30
ACEH,ACEH TENGAH,1106,Transportasi dan pergudangan,424
ACEH,ACEH TENGAH,1106,Informasi & komunikasi,5
ACEH,ACEH TENGAH,1106,Keuangan dan asuransi,5
ACEH,ACEH TENGAH,1106,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",38
ACEH,ACEH TENGAH,1106,Pemulung,527
ACEH,ACEH TENGAH,1106,Lainnya,127
ACEH,ACEH BARAT,1107,Pertanian tanaman padi & palawija,"9,278"
ACEH,ACEH BARAT,1107,Hortikultura,98
ACEH,ACEH BARAT,1107,Perkebunan,"2,243"
ACEH,ACEH BARAT,1107,Perikanan Tangkap,552
ACEH,ACEH BARAT,1107,Perikanan Budidaya,3
ACEH,ACEH BARAT,1107,Peternakan,20
ACEH,ACEH BARAT,1107,Kehutanan/ pertanian lainnya,199
ACEH,ACEH BARAT,1107,Pertambangan /penggalian,338
ACEH,ACEH BARAT,1107,Industri pengolahan,208
ACEH,ACEH BARAT,1107,Listrik dan gas,26
ACEH,ACEH BARAT,1107,Bangunan /konstruksi,"1,058"
ACEH,ACEH BARAT,1107,Perdagangan,801
ACEH,ACEH BARAT,1107,Hotel dan rumah makan,112
ACEH,ACEH BARAT,1107,Transportasi dan pergudangan,376
ACEH,ACEH BARAT,1107,Informasi & komunikasi,1
ACEH,ACEH BARAT,1107,Keuangan dan asuransi,3
ACEH,ACEH BARAT,1107,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",36
ACEH,ACEH BARAT,1107,Pemulung,440
ACEH,ACEH BARAT,1107,Lainnya,504
ACEH,ACEH BESAR,1108,Pertanian tanaman padi & palawija,"12,474"
ACEH,ACEH BESAR,1108,Hortikultura,454
ACEH,ACEH BESAR,1108,Perkebunan,747
ACEH,ACEH BESAR,1108,Perikanan Tangkap,"1,098"
ACEH,ACEH BESAR,1108,Perikanan Budidaya,56
ACEH,ACEH BESAR,1108,Peternakan,"1,109"
ACEH,ACEH BESAR,1108,Kehutanan/ pertanian lainnya,286
ACEH,ACEH BESAR,1108,Pertambangan /penggalian,119
ACEH,ACEH BESAR,1108,Industri pengolahan,782
ACEH,ACEH BESAR,1108,Listrik dan gas,99
ACEH,ACEH BESAR,1108,Bangunan /konstruksi,"4,059"
ACEH,ACEH BESAR,1108,Perdagangan,"2,995"
ACEH,ACEH BESAR,1108,Hotel dan rumah makan,142
ACEH,ACEH BESAR,1108,Transportasi dan pergudangan,"1,389"
ACEH,ACEH BESAR,1108,Informasi & komunikasi,25
ACEH,ACEH BESAR,1108,Keuangan dan asuransi,21
ACEH,ACEH BESAR,1108,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",142
ACEH,ACEH BESAR,1108,Pemulung,"1,603"
ACEH,ACEH BESAR,1108,Lainnya,"1,579"
ACEH,PIDIE,1109,Pertanian tanaman padi & palawija,"19,273"
ACEH,PIDIE,1109,Hortikultura,"2,841"
ACEH,PIDIE,1109,Perkebunan,"2,773"
ACEH,PIDIE,1109,Perikanan Tangkap,"2,635"
ACEH,PIDIE,1109,Perikanan Budidaya,327
ACEH,PIDIE,1109,Peternakan,178
ACEH,PIDIE,1109,Kehutanan/ pertanian lainnya,139
ACEH,PIDIE,1109,Pertambangan /penggalian,272
ACEH,PIDIE,1109,Industri pengolahan,"1,538"
ACEH,PIDIE,1109,Listrik dan gas,63
ACEH,PIDIE,1109,Bangunan /konstruksi,"2,892"
ACEH,PIDIE,1109,Perdagangan,"3,741"
ACEH,PIDIE,1109,Hotel dan rumah makan,508
ACEH,PIDIE,1109,Transportasi dan pergudangan,"1,394"
ACEH,PIDIE,1109,Informasi & komunikasi,19
ACEH,PIDIE,1109,Keuangan dan asuransi,8
ACEH,PIDIE,1109,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",127
ACEH,PIDIE,1109,Pemulung,"1,711"
ACEH,PIDIE,1109,Lainnya,276
ACEH,BIREUEN,1110,Pertanian tanaman padi & palawija,"20,450"
ACEH,BIREUEN,1110,Hortikultura,331
ACEH,BIREUEN,1110,Perkebunan,"3,475"
ACEH,BIREUEN,1110,Perikanan Tangkap,"1,942"
ACEH,BIREUEN,1110,Perikanan Budidaya,752
ACEH,BIREUEN,1110,Peternakan,288
ACEH,BIREUEN,1110,Kehutanan/ pertanian lainnya,212
ACEH,BIREUEN,1110,Pertambangan /penggalian,151
ACEH,BIREUEN,1110,Industri pengolahan,"1,244"
ACEH,BIREUEN,1110,Listrik dan gas,91
ACEH,BIREUEN,1110,Bangunan /konstruksi,"3,111"
ACEH,BIREUEN,1110,Perdagangan,"3,157"
ACEH,BIREUEN,1110,Hotel dan rumah makan,215
ACEH,BIREUEN,1110,Transportasi dan pergudangan,"1,526"
ACEH,BIREUEN,1110,Informasi & komunikasi,12
ACEH,BIREUEN,1110,Keuangan dan asuransi,9
ACEH,BIREUEN,1110,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",133
ACEH,BIREUEN,1110,Pemulung,"1,108"
ACEH,BIREUEN,1110,Lainnya,"3,126"
ACEH,ACEH UTARA,1111,Pertanian tanaman padi & palawija,"31,596"
ACEH,ACEH UTARA,1111,Hortikultura,537
ACEH,ACEH UTARA,1111,Perkebunan,"8,044"
ACEH,ACEH UTARA,1111,Perikanan Tangkap,"2,366"
ACEH,ACEH UTARA,1111,Perikanan Budidaya,947
ACEH,ACEH UTARA,1111,Peternakan,350
ACEH,ACEH UTARA,1111,Kehutanan/ pertanian lainnya,586
ACEH,ACEH UTARA,1111,Pertambangan /penggalian,131
ACEH,ACEH UTARA,1111,Industri pengolahan,"1,618"
ACEH,ACEH UTARA,1111,Listrik dan gas,90
ACEH,ACEH UTARA,1111,Bangunan /konstruksi,"5,152"
ACEH,ACEH UTARA,1111,Perdagangan,"3,800"
ACEH,ACEH UTARA,1111,Hotel dan rumah makan,277
ACEH,ACEH UTARA,1111,Transportasi dan pergudangan,"1,480"
ACEH,ACEH UTARA,1111,Informasi & komunikasi,12
ACEH,ACEH UTARA,1111,Keuangan dan asuransi,7
ACEH,ACEH UTARA,1111,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",321
ACEH,ACEH UTARA,1111,Pemulung,"2,105"
ACEH,ACEH UTARA,1111,Lainnya,"2,727"
ACEH,ACEH BARAT DAYA,1112,Pertanian tanaman padi & palawija,"7,978"
ACEH,ACEH BARAT DAYA,1112,Hortikultura,80
ACEH,ACEH BARAT DAYA,1112,Perkebunan,"1,653"
ACEH,ACEH BARAT DAYA,1112,Perikanan Tangkap,"1,277"
ACEH,ACEH BARAT DAYA,1112,Perikanan Budidaya,10
ACEH,ACEH BARAT DAYA,1112,Peternakan,45
ACEH,ACEH BARAT DAYA,1112,Kehutanan/ pertanian lainnya,162
ACEH,ACEH BARAT DAYA,1112,Pertambangan /penggalian,35
ACEH,ACEH BARAT DAYA,1112,Industri pengolahan,320
ACEH,ACEH BARAT DAYA,1112,Listrik dan gas,24
ACEH,ACEH BARAT DAYA,1112,Bangunan /konstruksi,"1,033"
ACEH,ACEH BARAT DAYA,1112,Perdagangan,971
ACEH,ACEH BARAT DAYA,1112,Hotel dan rumah makan,61
ACEH,ACEH BARAT DAYA,1112,Transportasi dan pergudangan,414
ACEH,ACEH BARAT DAYA,1112,Informasi & komunikasi,6
ACEH,ACEH BARAT DAYA,1112,Keuangan dan asuransi,2
ACEH,ACEH BARAT DAYA,1112,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",43
ACEH,ACEH BARAT DAYA,1112,Pemulung,440
ACEH,ACEH BARAT DAYA,1112,Lainnya,123
ACEH,GAYO LUES,1113,Pertanian tanaman padi & palawija,"2,397"
ACEH,GAYO LUES,1113,Hortikultura,553
ACEH,GAYO LUES,1113,Perkebunan,"3,748"
ACEH,GAYO LUES,1113,Perikanan Tangkap,3
ACEH,GAYO LUES,1113,Perikanan Budidaya,2
ACEH,GAYO LUES,1113,Peternakan,6
ACEH,GAYO LUES,1113,Kehutanan/ pertanian lainnya,11
ACEH,GAYO LUES,1113,Pertambangan /penggalian,3
ACEH,GAYO LUES,1113,Industri pengolahan,202
ACEH,GAYO LUES,1113,Listrik dan gas,4
ACEH,GAYO LUES,1113,Bangunan /konstruksi,97
ACEH,GAYO LUES,1113,Perdagangan,112
ACEH,GAYO LUES,1113,Hotel dan rumah makan,8
ACEH,GAYO LUES,1113,Transportasi dan pergudangan,114
ACEH,GAYO LUES,1113,Informasi & komunikasi,1
ACEH,GAYO LUES,1113,Keuangan dan asuransi,1
ACEH,GAYO LUES,1113,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",7
ACEH,GAYO LUES,1113,Pemulung,80
ACEH,GAYO LUES,1113,Lainnya,64
ACEH,ACEH TAMIANG,1114,Pertanian tanaman padi & palawija,"3,355"
ACEH,ACEH TAMIANG,1114,Hortikultura,291
ACEH,ACEH TAMIANG,1114,Perkebunan,"7,785"
ACEH,ACEH TAMIANG,1114,Perikanan Tangkap,"1,127"
ACEH,ACEH TAMIANG,1114,Perikanan Budidaya,151
ACEH,ACEH TAMIANG,1114,Peternakan,66
ACEH,ACEH TAMIANG,1114,Kehutanan/ pertanian lainnya,770
ACEH,ACEH TAMIANG,1114,Pertambangan /penggalian,252
ACEH,ACEH TAMIANG,1114,Industri pengolahan,598
ACEH,ACEH TAMIANG,1114,Listrik dan gas,49
ACEH,ACEH TAMIANG,1114,Bangunan /konstruksi,"2,197"
ACEH,ACEH TAMIANG,1114,Perdagangan,"1,532"
ACEH,ACEH TAMIANG,1114,Hotel dan rumah makan,242
ACEH,ACEH TAMIANG,1114,Transportasi dan pergudangan,"1,096"
ACEH,ACEH TAMIANG,1114,Informasi & komunikasi,14
ACEH,ACEH TAMIANG,1114,Keuangan dan asuransi,7
ACEH,ACEH TAMIANG,1114,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",93
ACEH,ACEH TAMIANG,1114,Pemulung,"2,128"
ACEH,ACEH TAMIANG,1114,Lainnya,"1,168"
ACEH,NAGAN RAYA,1115,Pertanian tanaman padi & palawija,"6,203"
ACEH,NAGAN RAYA,1115,Hortikultura,364
ACEH,NAGAN RAYA,1115,Perkebunan,"6,037"
ACEH,NAGAN RAYA,1115,Perikanan Tangkap,210
ACEH,NAGAN RAYA,1115,Perikanan Budidaya,8
ACEH,NAGAN RAYA,1115,Peternakan,63
ACEH,NAGAN RAYA,1115,Kehutanan/ pertanian lainnya,98
ACEH,NAGAN RAYA,1115,Pertambangan /penggalian,37
ACEH,NAGAN RAYA,1115,Industri pengolahan,411
ACEH,NAGAN RAYA,1115,Listrik dan gas,24
ACEH,NAGAN RAYA,1115,Bangunan /konstruksi,584
ACEH,NAGAN RAYA,1115,Perdagangan,676
ACEH,NAGAN RAYA,1115,Hotel dan rumah makan,23
ACEH,NAGAN RAYA,1115,Transportasi dan pergudangan,344
ACEH,NAGAN RAYA,1115,Informasi & komunikasi,2
ACEH,NAGAN RAYA,1115,Keuangan dan asuransi,0
ACEH,NAGAN RAYA,1115,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",25
ACEH,NAGAN RAYA,1115,Pemulung,327
ACEH,NAGAN RAYA,1115,Lainnya,382
ACEH,ACEH JAYA,1116,Pertanian tanaman padi & palawija,"4,774"
ACEH,ACEH JAYA,1116,Hortikultura,94
ACEH,ACEH JAYA,1116,Perkebunan,628
ACEH,ACEH JAYA,1116,Perikanan Tangkap,188
ACEH,ACEH JAYA,1116,Perikanan Budidaya,6
ACEH,ACEH JAYA,1116,Peternakan,24
ACEH,ACEH JAYA,1116,Kehutanan/ pertanian lainnya,103
ACEH,ACEH JAYA,1116,Pertambangan /penggalian,22
ACEH,ACEH JAYA,1116,Industri pengolahan,31
ACEH,ACEH JAYA,1116,Listrik dan gas,6
ACEH,ACEH JAYA,1116,Bangunan /konstruksi,269
ACEH,ACEH JAYA,1116,Perdagangan,180
ACEH,ACEH JAYA,1116,Hotel dan rumah makan,5
ACEH,ACEH JAYA,1116,Transportasi dan pergudangan,79
ACEH,ACEH JAYA,1116,Informasi & komunikasi,0
ACEH,ACEH JAYA,1116,Keuangan dan asuransi,1
ACEH,ACEH JAYA,1116,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",11
ACEH,ACEH JAYA,1116,Pemulung,108
ACEH,ACEH JAYA,1116,Lainnya,118
ACEH,BENER MERIAH,1117,Pertanian tanaman padi & palawija,251
ACEH,BENER MERIAH,1117,Hortikultura,503
ACEH,BENER MERIAH,1117,Perkebunan,"7,067"
ACEH,BENER MERIAH,1117,Perikanan Tangkap,7
ACEH,BENER MERIAH,1117,Perikanan Budidaya,0
ACEH,BENER MERIAH,1117,Peternakan,18
ACEH,BENER MERIAH,1117,Kehutanan/ pertanian lainnya,26
ACEH,BENER MERIAH,1117,Pertambangan /penggalian,18
ACEH,BENER MERIAH,1117,Industri pengolahan,19
ACEH,BENER MERIAH,1117,Listrik dan gas,5
ACEH,BENER MERIAH,1117,Bangunan /konstruksi,339
ACEH,BENER MERIAH,1117,Perdagangan,254
ACEH,BENER MERIAH,1117,Hotel dan rumah makan,16
ACEH,BENER MERIAH,1117,Transportasi dan pergudangan,83
ACEH,BENER MERIAH,1117,Informasi & komunikasi,2
ACEH,BENER MERIAH,1117,Keuangan dan asuransi,2
ACEH,BENER MERIAH,1117,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",11
ACEH,BENER MERIAH,1117,Pemulung,153
ACEH,BENER MERIAH,1117,Lainnya,196
ACEH,PIDIE JAYA,1118,Pertanian tanaman padi & palawija,"8,097"
ACEH,PIDIE JAYA,1118,Hortikultura,278
ACEH,PIDIE JAYA,1118,Perkebunan,900
ACEH,PIDIE JAYA,1118,Perikanan Tangkap,"1,181"
ACEH,PIDIE JAYA,1118,Perikanan Budidaya,227
ACEH,PIDIE JAYA,1118,Peternakan,86
ACEH,PIDIE JAYA,1118,Kehutanan/ pertanian lainnya,90
ACEH,PIDIE JAYA,1118,Pertambangan /penggalian,56
ACEH,PIDIE JAYA,1118,Industri pengolahan,479
ACEH,PIDIE JAYA,1118,Listrik dan gas,22
ACEH,PIDIE JAYA,1118,Bangunan /konstruksi,"1,193"
ACEH,PIDIE JAYA,1118,Perdagangan,"1,229"
ACEH,PIDIE JAYA,1118,Hotel dan rumah makan,89
ACEH,PIDIE JAYA,1118,Transportasi dan pergudangan,461
ACEH,PIDIE JAYA,1118,Informasi & komunikasi,3
ACEH,PIDIE JAYA,1118,Keuangan dan asuransi,3
ACEH,PIDIE JAYA,1118,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",65
ACEH,PIDIE JAYA,1118,Pemulung,488
ACEH,PIDIE JAYA,1118,Lainnya,162
ACEH,KOTA BANDA ACEH,1171,Pertanian tanaman padi & palawija,41
ACEH,KOTA BANDA ACEH,1171,Hortikultura,13
ACEH,KOTA BANDA ACEH,1171,Perkebunan,5
ACEH,KOTA BANDA ACEH,1171,Perikanan Tangkap,517
ACEH,KOTA BANDA ACEH,1171,Perikanan Budidaya,40
ACEH,KOTA BANDA ACEH,1171,Peternakan,99
ACEH,KOTA BANDA ACEH,1171,Kehutanan/ pertanian lainnya,2
ACEH,KOTA BANDA ACEH,1171,Pertambangan /penggalian,5
ACEH,KOTA BANDA ACEH,1171,Industri pengolahan,248
ACEH,KOTA BANDA ACEH,1171,Listrik dan gas,48
ACEH,KOTA BANDA ACEH,1171,Bangunan /konstruksi,"1,551"
ACEH,KOTA BANDA ACEH,1171,Perdagangan,"1,636"
ACEH,KOTA BANDA ACEH,1171,Hotel dan rumah makan,186
ACEH,KOTA BANDA ACEH,1171,Transportasi dan pergudangan,"1,110"
ACEH,KOTA BANDA ACEH,1171,Informasi & komunikasi,15
ACEH,KOTA BANDA ACEH,1171,Keuangan dan asuransi,14
ACEH,KOTA BANDA ACEH,1171,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",44
ACEH,KOTA BANDA ACEH,1171,Pemulung,"1,300"
ACEH,KOTA BANDA ACEH,1171,Lainnya,103
ACEH,KOTA SABANG,1172,Pertanian tanaman padi & palawija,13
ACEH,KOTA SABANG,1172,Hortikultura,179
ACEH,KOTA SABANG,1172,Perkebunan,98
ACEH,KOTA SABANG,1172,Perikanan Tangkap,263
ACEH,KOTA SABANG,1172,Perikanan Budidaya,1
ACEH,KOTA SABANG,1172,Peternakan,29
ACEH,KOTA SABANG,1172,Kehutanan/ pertanian lainnya,9
ACEH,KOTA SABANG,1172,Pertambangan /penggalian,21
ACEH,KOTA SABANG,1172,Industri pengolahan,55
ACEH,KOTA SABANG,1172,Listrik dan gas,5
ACEH,KOTA SABANG,1172,Bangunan /konstruksi,313
ACEH,KOTA SABANG,1172,Perdagangan,231
ACEH,KOTA SABANG,1172,Hotel dan rumah makan,18
ACEH,KOTA SABANG,1172,Transportasi dan pergudangan,94
ACEH,KOTA SABANG,1172,Informasi & komunikasi,2
ACEH,KOTA SABANG,1172,Keuangan dan asuransi,1
ACEH,KOTA SABANG,1172,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",11
ACEH,KOTA SABANG,1172,Pemulung,287
ACEH,KOTA SABANG,1172,Lainnya,43
ACEH,KOTA LANGSA,1173,Pertanian tanaman padi & palawija,430
ACEH,KOTA LANGSA,1173,Hortikultura,41
ACEH,KOTA LANGSA,1173,Perkebunan,593
ACEH,KOTA LANGSA,1173,Perikanan Tangkap,"1,082"
ACEH,KOTA LANGSA,1173,Perikanan Budidaya,109
ACEH,KOTA LANGSA,1173,Peternakan,17
ACEH,KOTA LANGSA,1173,Kehutanan/ pertanian lainnya,79
ACEH,KOTA LANGSA,1173,Pertambangan /penggalian,11
ACEH,KOTA LANGSA,1173,Industri pengolahan,254
ACEH,KOTA LANGSA,1173,Listrik dan gas,19
ACEH,KOTA LANGSA,1173,Bangunan /konstruksi,"1,510"
ACEH,KOTA LANGSA,1173,Perdagangan,962
ACEH,KOTA LANGSA,1173,Hotel dan rumah makan,263
ACEH,KOTA LANGSA,1173,Transportasi dan pergudangan,"1,213"
ACEH,KOTA LANGSA,1173,Informasi & komunikasi,10
ACEH,KOTA LANGSA,1173,Keuangan dan asuransi,6
ACEH,KOTA LANGSA,1173,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",42
ACEH,KOTA LANGSA,1173,Pemulung,"1,472"
ACEH,KOTA LANGSA,1173,Lainnya,16
ACEH,KOTA LHOKSEUMAWE,1174,Pertanian tanaman padi & palawija,899
ACEH,KOTA LHOKSEUMAWE,1174,Hortikultura,235
ACEH,KOTA LHOKSEUMAWE,1174,Perkebunan,173
ACEH,KOTA LHOKSEUMAWE,1174,Perikanan Tangkap,"1,401"
ACEH,KOTA LHOKSEUMAWE,1174,Perikanan Budidaya,74
ACEH,KOTA LHOKSEUMAWE,1174,Peternakan,41
ACEH,KOTA LHOKSEUMAWE,1174,Kehutanan/ pertanian lainnya,24
ACEH,KOTA LHOKSEUMAWE,1174,Pertambangan /penggalian,17
ACEH,KOTA LHOKSEUMAWE,1174,Industri pengolahan,155
ACEH,KOTA LHOKSEUMAWE,1174,Listrik dan gas,47
ACEH,KOTA LHOKSEUMAWE,1174,Bangunan /konstruksi,"1,938"
ACEH,KOTA LHOKSEUMAWE,1174,Perdagangan,"1,164"
ACEH,KOTA LHOKSEUMAWE,1174,Hotel dan rumah makan,121
ACEH,KOTA LHOKSEUMAWE,1174,Transportasi dan pergudangan,"1,347"
ACEH,KOTA LHOKSEUMAWE,1174,Informasi & komunikasi,14
ACEH,KOTA LHOKSEUMAWE,1174,Keuangan dan asuransi,7
ACEH,KOTA LHOKSEUMAWE,1174,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",79
ACEH,KOTA LHOKSEUMAWE,1174,Pemulung,"1,483"
ACEH,KOTA LHOKSEUMAWE,1174,Lainnya,433
ACEH,KOTA SUBULUSSALAM,1175,Pertanian tanaman padi & palawija,629
ACEH,KOTA SUBULUSSALAM,1175,Hortikultura,49
ACEH,KOTA SUBULUSSALAM,1175,Perkebunan,"2,590"
ACEH,KOTA SUBULUSSALAM,1175,Perikanan Tangkap,299
